Id,SalePrice
1461,123898.16746012324
1462,161609.21823024435
1463,187501.2356466461
1464,200433.84352654993
1465,184477.01042663425
1466,172640.00496511173
1467,175776.27445001894
1468,165145.24485567576
1469,186219.8410861516
1470,123151.84478856828
1471,188400.71924310646
1472,96383.02530606468
1473,95516.1907606033
1474,146897.7537175603
1475,113854.28784767877
1476,360601.82847667893
1477,249398.94665640406
1478,290657.71882024046
1479,266032.8059754032
1480,445011.60322115873
1481,324883.6384805923
1482,206064.33647881515
1483,175526.39687377185
1484,163410.84719198564
1485,184845.41390867945
1486,194612.81669533002
1487,331234.31914091925
1488,236592.15668103113
1489,201577.99238735347
1490,235823.44673766682
1491,192392.94142701582
1492,95009.70164697258
1493,185371.9388763524
1494,287688.7491060229
1495,285959.71150230535
1496,240906.57501941168
1497,181040.07787119984
1498,163998.70143310394
1499,159904.31654955898
1500,157421.65279653328
1501,178616.36996900753
1502,142280.24506595428
1503,309744.6243066486
1504,242864.33531155004
1505,229393.18670571936
1506,187144.4924405445
1507,257229.5784939914
1508,200854.17784069566
1509,161269.65157755383
1510,146491.36317349772
1511,145855.68956427238
1512,172107.32850468106
1513,147649.08455953674
1514,165753.7280055878
1515,190304.71901359773
1516,152579.871190539
1517,167161.22740235203
1518,130442.7046090664
1519,217357.64624850298
1520,132648.7341611594
1521,135505.8010824464
1522,174755.0778907904
1523,115838.4154982572
1524,127707.89031312395
1525,122778.10022528602
1526,115570.6904013815
1527,104090.97463005377
1528,135917.02548476183
1529,152939.8981331574
1530,179412.7537618195
1531,104312.87100339097
1532,95811.1574753313
1533,145203.55169402616
1534,122096.43045121539
1535,148628.7720360776
1536,107156.47548832236
1537,62045.74074551409
1538,154612.7516001732
1539,191393.80482016836
1540,92670.0202613911
1541,143086.064764942
1542,142265.96512096436
1543,199475.6354947819
1544,84393.03274502227
1545,113640.52827439496
1546,131227.12800002575
1547,134616.34170262434
1548,139321.23350666265
1549,115572.5835066812
1550,138891.02869812155
1551,106295.77881771441
1552,141770.59295218083
1553,155799.37334140943
1554,118688.40936829474
1555,166007.45379712954
1556,83416.94469106437
1557,104600.42264612966
1558,97415.72371689788
1559,64054.286041101215
1560,130024.73988729702
1561,140370.74905883992
1562,130186.26310359899
1563,123423.02511408129
1564,152585.651650882
1565,148301.3947602806
1566,242097.31942387065
1567,78380.2343179438
1568,234711.12997718528
1569,135517.14960813895
1570,138694.51626789756
1571,116688.86522696454
1572,145701.25254078856
1573,238503.35890036265
1574,122112.60390065251
1575,227399.77509323298
1576,251606.739258623
1577,189044.13580078087
1578,141001.36762552345
1579,142623.84386315127
1580,189670.12615612216
1581,156358.49823821234
1582,129616.28071233917
1583,311234.93908057455
1584,221641.0104578385
1585,139036.2141412505
1586,63038.63489793175
1587,101635.89997610377
1588,155745.02794942397
1589,101083.6120755846
1590,133603.25991221782
1591,94052.16592638643
1592,114631.47911550358
1593,124909.77538444778
1594,139479.73380648126
1595,110115.93377876218
1596,225629.40290149165
1597,187310.31619266464
